subcategory,title,price,rating,reviews,url,category,value_score,popularity_score,price_bucket
Bike Lights,Xmund LED Bicycle Front Light USB Rechargeable Adjustable Bicycle Taillight Set MTB Mountain Cycling Flashlight Bike Accessories,9.28,4.64,33,https://www.banggood.com/Xmund-LED-Bicycle-Front-Light-USB-Rechargeable-Adjustable-Bicycle-Taillight-Set-MTB-Mountain-Cycling-Flashlight-Bike-Accessories-p-1979696.html?cur_warehouse=CN&ID=514943&rmmds=CategorySportsPop&trace_id=1ca01763853433859,Sports And Outdoors,0.5,27.0556,Low
Bike Lights,LAOTIE B08 8 LEDs Bicycle Headlight 5000 lm Brightness 500m Distance IP65 Waterproof Type-C Rechargeable Battery Digital Display Protable Flashlight for MTB Road Cycling,30.96,4.92,26,https://www.banggood.com/LAOTIE-B08-8-LEDs-Bicycle-Headlight-5000-lm-Brightness-500m-Distance-IP65-Waterproof-Type-C-Rechargeable-Battery-Digital-Display-Protable-Flashlight-for-MTB-Road-Cycling-p-2017953.html?cur_warehouse=CN&ID=6329635&rmmds=CategorySportsPop&trace_id=1ca01763853433859,Sports And Outdoors,0.1589,25.5651,Premium
Bike Lights,INBIKE Bike Taillight 600mAh Battery 4 Light Modes USB Rechargeable Waterproof Bicycle Rear Light for Night Cycling,6.19,4.8,5,https://www.banggood.com/INBIKE-Bike-Taillight-600mAh-Battery-4-Light-Modes-USB-Rechargeable-Waterproof-Bicycle-Rear-Light-for-Night-Cycling-p-2009934.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853433859,Sports And Outdoors,0.7754,11.7576,Low
Bike Lights,BIKIGHT 3250LM Bike Front Light 8000mAh USB Rechargeable 4 Light Modes Waterproof Bicycle Headlight,9.28,4.38,34,https://www.banggood.com/BIKIGHT-3250LM-Bike-Front-Light-8000mAh-USB-Rechargeable-4-Light-Modes-Waterproof-Bicycle-Headlight-p-1988636.html?cur_warehouse=CN&ID=6323109&rmmds=CategorySportsPop&trace_id=1ca01763853433859,Sports And Outdoors,0.472,25.9124,Low
Bike Lights,ROCKBROS R3 Smart Brake Sensing Bike Taillight 4 Lighting Modes IPX6 Waterproof Type-C Rechargeable Vibration Sensor Bicycle Rear Light,13.15,5.0,4,https://www.banggood.com/ROCKBROS-R3-Smart-Brake-Sensing-Bike-Taillight-4-Lighting-Modes-IPX6-Waterproof-Type-C-Rechargeable-Vibration-Sensor-Bicycle-Rear-Light-p-2016069.html?cur_warehouse=CN&ID=6287830&rmmds=CategorySportsPop&trace_id=1ca01763853433859,Sports And Outdoors,0.3802,11.1803,Medium
Bike Lights,Astrolux® BC2 Double 800LM LED Bright Bike Light 2600mAh Battery IP64 Waterproof 5 Light Modes Type-C Rechargeable Bicycle Front Light Flashlight with Taillight Horn,13.15,5.0,1,https://www.banggood.com/Astrolux-BC2-Double-800LM-LED-Bright-Bike-Light-2600mAh-Battery-IP64-Waterproof-5-Light-Modes-Type-C-Rechargeable-Bicycle-Front-Light-Flashlight-with-Taillight-Horn-p-1998738.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853433859,Sports And Outdoors,0.3802,7.0711,Medium
Bike Lights,Bike Rear Light  USB Rechargeable Bicycle Tail Light For Cycling Helmet Backpack Safety Warning TailLight,6.19,4.52,21,https://www.banggood.com/Bike-Rear-Light-USB-Rechargeable-Bicycle-Tail-Light-For-Cycling-Helmet-Backpack-Safety-Warning-TailLight-p-1983524.html?cur_warehouse=CN&ID=6287832&rmmds=CategorySportsPop&trace_id=1ca01763853433859,Sports And Outdoors,0.7302,21.2007,Low
Bike Lights,NEWBOLER Smart Bike Headlight 6000 Lumens Big Floodlight 10000mAh Battery Power Bank Waterproof Auto-light adjustment Front Light for MTB Road Cycling,21.67,5.0,3,https://www.banggood.com/NEWBOLER-Smart-Bike-Headlight-6000-Lumens-Big-Floodlight-10000mAh-Battery-Power-Bank-Waterproof-Auto-light-adjustment-Front-Light-for-MTB-Road-Cycling-p-2014151.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853433859,Sports And Outdoors,0.2307,10.0,High
Bike Headlamps,Bikight W678 Smart Sensor Headlight XPG+COB 6 Modes Type-C Charging 2000mAh Battery Flashlight Head Torch,7.27,4.83,180,https://www.banggood.com/Bikight-W678-Smart-Sensor-Headlight-XPG+COB-6-Modes-Type-C-Charging-2000mAh-Battery-Flashlight-Head-Torch-p-1893555.html?cur_warehouse=CN&ID=6313679&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.6644,64.981,Low
Bike Headlamps,XMUND Portable Sensor Headlamp USB Rechargeable Zoom Fishing Torch Outdoor Super Bright Waterproof Headlamp Camping Lamp XD-HL1,11.81,4.89,28,https://www.banggood.com/XMUND-Portable-Sensor-Headlamp-USB-Rechargeable-Zoom-Fishing-Torch-Outdoor-Super-Bright-Waterproof-Headlamp-Camping-Lamp-XD-HL1-p-1980900.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.4141,26.3335,Medium
Bike Headlamps,2119A-C Ultra Bright Portable XPE+COB Headlight TYPE-C Charging Lightweight Waterproof for Outdoor Activities Emergencies Head lamp,4.92,4.67,3,https://www.banggood.com/2119A-C-Ultra-Bright-Portable-XPE+COB-Headlight-TYPE-C-Charging-Lightweight-Waterproof-for-Outdoor-Activities-Emergencies-Head-lamp-p-1999380.html?cur_warehouse=CN&ID=6288564&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.9492,9.34,Low
Bike Headlamps,XMUND Multi-function Wave Induction COB LED Headlight Outdoor Riding Light USB Charging Night Running Light Strong Light Headlamp W689-3,6.43,4.87,71,https://www.banggood.com/XMUND-Multi-function-Wave-Induction-COB-LED-Headlight-Outdoor-Riding-Light-USB-Charging-Night-Running-Light-Strong-Light-Headlamp-W689-3-p-1978934.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.7574,41.3233,Low
